complaint_id,raw_text,issue_category,jurisdiction_level,assigned_department,officer_title,priority_level,actual_resolution_hours
BAGA-0001,"Huge pothole on Ring Road near school, very dangerous",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,210.6
BAGA-0002,Overhead tank not filling in our colony Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.9
BAGA-0003,Water pipe burst on FC Road near bus stand,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.7
BAGA-0004,"Transformer burst in Nehru Colony, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.0
BAGA-0005,"Water pressure is very low in MG Road area, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.5
BAGA-0006,There is no water supply in Ward 39 since 6 hours,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.8
BAGA-0007,"Sewer line blocked in Shivaji Nagar, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,16.6
BAGA-0008,"Dustbins removed from FC Road, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,59.4
BAGA-0009,Handpump in village Shirgaon not working for 3 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,76.3
BAGA-0010,Road damaged after monsoon near temple,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,228.4
BAGA-0011,"Footpath broken in Baner, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,233.8
BAGA-0012,"Village Mahuli needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,94.8
BAGA-0013,"No water in gram panchayat Devgad, bore well dried up",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,86.2
BAGA-0014,Dirty contaminated water coming from tap in Baner,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.9
BAGA-0015,"Water pressure is very low in MG Road area, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.4
BAGA-0016,There is no water supply in Ward 5 since 10 hours,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,41.7
BAGA-0017,"School building in Ambegaon is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,448.1
BAGA-0018,Toilet construction incomplete in Shirgaon under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,81.1
BAGA-0019,There is no water supply in Ward 7 since 6 hours,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,34.6
BAGA-0020,"School building in Mahuli is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,575.0
BAGA-0021,"Dustbins removed from FC Road, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,81.3
BAGA-0022,Dirty contaminated water coming from tap in Aundh,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,43.2
BAGA-0023,Electric pole fallen on road near hospital in Hadapsar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.4
BAGA-0024,"Transformer burst in Kothrud, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.8
BAGA-0025,Water pipe burst on Mall Road near market,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,29.9
BAGA-0026,"Drain overflowing on Station Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,29.0
BAGA-0027,Voltage fluctuation damaging appliances in Aundh,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.3
BAGA-0028,"Village Shirgaon needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,68.1
BAGA-0029,Overhead tank not filling in our colony Baner,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,39.5
BAGA-0030,"Transformer burst in Hadapsar, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.8
BAGA-0031,"Power cut in Sadar Bazar for 8 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.6
BAGA-0032,Water pipe burst on Old Mumbai Highway near government office,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.3
BAGA-0033,Streetlight not working on Old Mumbai Highway for 2 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.0
BAGA-0034,Overhead tank not filling in our colony Koregaon Park,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,42.6
BAGA-0035,"Drain overflowing on MG Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,62.2
BAGA-0036,Community hall roof collapsed in gram panchayat Devgad,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,459.2
BAGA-0037,"Transformer burst in Koregaon Park, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.9
BAGA-0038,"Power cut in Laxmi Nagar for 2 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.8
BAGA-0039,"Power cut in Baner for 5 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,11.0
BAGA-0040,Handpump in village Rajgurunagar not working for 7 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,90.1
BAGA-0041,Toilet construction incomplete in Shirgaon under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,76.8
BAGA-0042,Dirty contaminated water coming from tap in Gandhi Nagar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,35.6
BAGA-0043,"Water pressure is very low in Laxmi Nagar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,27.5
BAGA-0044,"Village Kolegaon needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,102.8
BAGA-0045,Electric pole fallen on road near petrol pump in Shivaji Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.9
BAGA-0046,"Power cut in Baner for 24 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.0
BAGA-0047,Open dumping of waste near school in Kothrud,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,45.5
BAGA-0048,"Water pressure is very low in Kothrud, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,33.4
BAGA-0049,Streetlight not working on Ring Road for 10 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.0
BAGA-0050,"Power cut in Hadapsar for 8 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.3
BAGA-0051,Voltage fluctuation damaging appliances in Baner,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.7
BAGA-0052,Streetlight not working on Old Mumbai Highway for 10 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.4
BAGA-0053,"Drain overflowing on NH-48, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,44.9
BAGA-0054,Road damaged after monsoon near temple,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,246.3
BAGA-0055,"Power cut in Nehru Colony for 6 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,2.7
BAGA-0056,"Drain overflowing on Old Mumbai Highway, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,52.1
BAGA-0057,Dirty contaminated water coming from tap in Sadar Bazar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,38.7
BAGA-0058,Open dumping of waste near temple in Baner,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,46.0
BAGA-0059,"Village Bhimashankar needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,67.0
BAGA-0060,"Power cut in Gandhi Nagar for 5 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.8
BAGA-0061,Electric pole fallen on road near petrol pump in Hadapsar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.0
BAGA-0062,Open dumping of waste near college in Shivaji Nagar,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,27.9
BAGA-0063,"Drain overflowing on Mall Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,49.2
BAGA-0064,Toilet construction incomplete in Kolegaon under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,76.2
BAGA-0065,"Water pressure is very low in Nehru Colony, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,38.9
BAGA-0066,Garbage not collected for 15 days in Ward 6,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,44.9
BAGA-0067,Dirty contaminated water coming from tap in Aundh,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,38.0
BAGA-0068,"Dustbins removed from Civil Lines Road, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,47.9
BAGA-0069,Community hall roof collapsed in gram panchayat Bhimashankar,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,470.2
BAGA-0070,Voltage fluctuation damaging appliances in Nehru Colony,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.5
BAGA-0071,No speed breakers near school on Tilak Road,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,331.4
BAGA-0072,Toilet construction incomplete in Junnar under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,109.1
BAGA-0073,Dirty contaminated water coming from tap in Aundh,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,33.0
BAGA-0074,"Water pressure is very low in Hadapsar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,41.5
BAGA-0075,There is no water supply in Ward 45 since 4 hours,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,46.2
BAGA-0076,Water pipe burst on Mall Road near college,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,41.2
BAGA-0077,Handpump in village Rajgurunagar not working for 10 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,95.7
BAGA-0078,"Water pressure is very low in Nehru Colony, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,28.7
BAGA-0079,"School building in Devgad is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,595.8
BAGA-0080,"Water pressure is very low in Koregaon Park, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,35.0
BAGA-0081,"Drain overflowing on Tilak Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,43.7
BAGA-0082,Community hall roof collapsed in gram panchayat Wadgaon,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,590.1
BAGA-0083,"Transformer burst in Nehru Colony, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.7
BAGA-0084,Garbage not collected for 15 days in Ward 23,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,78.5
BAGA-0085,There is no water supply in Ward 13 since 2 hours,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,27.4
BAGA-0086,"Drain overflowing on NH-48, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,62.3
BAGA-0087,Streetlight not working on NH-48 for 3 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.2
BAGA-0088,Dirty contaminated water coming from tap in Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,43.3
BAGA-0089,Water pipe burst on FC Road near school,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.4
BAGA-0090,Overhead tank not filling in our colony Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,41.1
BAGA-0091,Dirty contaminated water coming from tap in Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.0
BAGA-0092,Community hall roof collapsed in gram panchayat Pargaon,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,430.5
BAGA-0093,Anganwadi building in Devgad needs repair,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,606.1
BAGA-0094,"Drain overflowing on Ring Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,36.5
BAGA-0095,"Dustbins removed from Mall Road, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,57.2
BAGA-0096,Electric pole fallen on road near temple in Aundh,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.5
BAGA-0097,Village road from Kolegaon to taluka in terrible condition,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,461.9
BAGA-0098,"Divider damaged on Civil Lines Road, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,271.0
BAGA-0099,"Drain overflowing on Old Mumbai Highway, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,58.5
BAGA-0100,"School building in Mahuli is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,518.4
BAGA-0101,Streetlight not working on Old Mumbai Highway for 15 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,13.5
BAGA-0102,Toilet construction incomplete in Devgad under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,85.7
BAGA-0103,Dirty contaminated water coming from tap in Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,30.2
